,0,1,2
103,https://www.chess.com/live/game/1724075600,https://www.chess.com/openings/Italian-Game,romanpererushev won by resignation
104,https://www.chess.com/live/game/1732730988,https://www.chess.com/openings/Kings-Pawn-Opening-Owen-Defense,fun_man won by checkmate
105,https://www.chess.com/live/game/1759574744,https://www.chess.com/openings/Vienna-Game-Falkbeer-Variation-3.d3,dakaykourules won by checkmate
106,https://www.chess.com/live/game/1770590241,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Busch-Gass-Gambit-3.Nxe5,fun_man won by resignation
107,https://www.chess.com/live/game/1770603404,https://www.chess.com/openings/Queens-Pawn-Opening-Amazon-Attack,jcgriwan won by resignation
108,https://www.chess.com/live/game/1826170080,https://www.chess.com/openings/Kings-Pawn-Opening-Wayward-Queen-Kiddie-Countergambit,raj5349 won by checkmate
109,https://www.chess.com/live/game/2700830077,https://www.chess.com/openings/Vant-Kruijs-Opening,fun_man won by resignation
110,https://www.chess.com/live/game/2700846481,https://www.chess.com/openings/Vant-Kruijs-Opening,iasonasachillias won by resignation
111,https://www.chess.com/live/game/2702725447,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5,fun_man won by resignation
112,https://www.chess.com/live/game/2703194890,https://www.chess.com/openings/Englund-Gambit-Declined-Reversed-French-Variation,wallmann won on time
113,https://www.chess.com/live/game/2705433617,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Damiano-Defense,fun_man won by resignation
114,https://www.chess.com/live/game/2705465160,https://www.chess.com/openings/Kings-Pawn-Opening-Wayward-Queen-Attack,andreaas08 won by resignation
115,https://www.chess.com/live/game/2705503535,https://www.chess.com/openings/Kings-Pawn-Opening-Wayward-Queen-Attack,fun_man won by resignation
116,https://www.chess.com/live/game/2705511693,https://www.chess.com/openings/Scotch-Game-Schmidt-Variation,Vwederuona won by resignation
117,https://www.chess.com/live/game/2707443435,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Variation,fun_man won by checkmate
118,https://www.chess.com/live/game/2707460975,https://www.chess.com/openings/Petrovs-Defense-Urusov-Gambit,arunsd won by resignation
119,https://www.chess.com/live/game/2707539542,https://www.chess.com/openings/Italian-Game,fun_man won - game abandoned
120,https://www.chess.com/live/game/2707589678,https://www.chess.com/openings/Petrovs-Defense-Steinitz-Attack,Pugparty101 won on time
121,https://www.chess.com/live/game/2709296304,https://www.chess.com/openings/Center-Game-Beyer-Gambit,fun_man won on time
122,https://www.chess.com/live/game/2709648104,https://www.chess.com/openings/Center-Game-Accepted-Normal-Variation,Eazy_Dupre won by resignation
123,https://www.chess.com/live/game/2709657567,https://www.chess.com/openings/Pirc-Defense-Small-Center-Defense,fun_man won by resignation
124,https://www.chess.com/live/game/2709785950,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Elephant-Gambit-3.Nxe5-dxe4,anna1224567890 won by resignation
125,https://www.chess.com/live/game/2709806102,https://www.chess.com/openings/Kings-Pawn-Opening-Napoleon-Attack,midoallam won by checkmate
126,https://www.chess.com/live/game/2709909345,https://www.chess.com/openings/Italian-Game,legolas755 won by resignation
127,https://www.chess.com/live/game/2710678666,https://www.chess.com/openings/Scotch-Game,KirillD2008 won by resignation
128,https://www.chess.com/live/game/2710819564,https://www.chess.com/openings/Center-Game-Beyer-Gambit,fun_man won by resignation
129,https://www.chess.com/live/game/2713178320,https://www.chess.com/openings/Kings-Fianchetto-Opening,OmarSFigueroa won on time
130,https://www.chess.com/live/game/2714240019,https://www.chess.com/openings/French-Defense-Normal-Variation-2...d5,fun_man won on time
131,https://www.chess.com/live/game/2715746440,https://www.chess.com/openings/Vant-Kruijs-Opening-1...e5,superRk won by checkmate
132,https://www.chess.com/live/game/2721006859,https://www.chess.com/openings/Vienna-Game,NishantBhola won by checkmate
133,https://www.chess.com/live/game/2725338124,https://www.chess.com/openings/Center-Game,Roggr won by resignation
134,https://www.chess.com/live/game/2725492303,https://www.chess.com/openings/Vienna-Game-Falkbeer-Variation,nansan2002 won by checkmate
135,https://www.chess.com/live/game/2725574039,https://www.chess.com/openings/Center-Game,faramaw won by resignation
136,https://www.chess.com/live/game/2725578524,https://www.chess.com/openings/Queens-Pawn-Opening-Accelerated-London-System,kir4agi won on time
137,https://www.chess.com/live/game/2725659930,https://www.chess.com/openings/Bishops-Opening-Philidor-Counterattack,fun_man won - game abandoned
138,https://www.chess.com/live/game/2725673157,https://www.chess.com/openings/Kings-Pawn-Opening-Napoleon-Attack,ErlindSheshori won by resignation
139,https://www.chess.com/live/game/2725686642,https://www.chess.com/openings/French-Defense-Franco-Sicilian-Defense,Kvothe17 won - game abandoned
140,https://www.chess.com/live/game/2726784691,https://www.chess.com/openings/Italian-Game-Knight-Attack,fedya2011 won by resignation
141,https://www.chess.com/live/game/2726800806,https://www.chess.com/openings/French-Defense-Queens-Knight-Variation-2...d5,fun_man won by checkmate
142,https://www.chess.com/live/game/2727611710,https://www.chess.com/openings/Sicilian-Defense-Smith-Morra-Gambit,fun_man won by checkmate
143,https://www.chess.com/live/game/2727640550,https://www.chess.com/openings/Center-Game-Accepted-Normal-Variation,chouchou56 won by checkmate
144,https://www.chess.com/live/game/2728786724,https://www.chess.com/openings/Scotch-Game,alesandro777888 won by resignation
145,https://www.chess.com/live/game/2742833863,https://www.chess.com/openings/Petrovs-Defense,andrik-212 won by checkmate
146,https://www.chess.com/live/game/2754031007,https://www.chess.com/openings/Kings-Pawn-Opening-Leonardis-Variation,InMetro won by resignation
147,https://www.chess.com/live/game/2762468776,https://www.chess.com/openings/Sicilian-Defense-Staunton-Cochrane-Variation-2...d6,fun_man won by checkmate
148,https://www.chess.com/live/game/2762557471,https://www.chess.com/openings/Petrovs-Defense,vikashire won by checkmate
149,https://www.chess.com/live/game/2775265225,https://www.chess.com/openings/Barnes-Opening-1...d5-2.e4,ZHY1999 won by resignation
150,https://www.chess.com/live/game/2784241447,https://www.chess.com/openings/Nimzowitsch-Defense-Kennedy-Variation,fun_man won on time
151,https://www.chess.com/live/game/2844895339,https://www.chess.com/openings/Kings-Pawn-Opening-Wayward-Queen-Attack,Jonathan127 won by resignation
152,https://www.chess.com/live/game/2844904691,https://www.chess.com/openings/Scandinavian-Defense,Ramilmi won on time
153,https://www.chess.com/live/game/2919379197,https://www.chess.com/openings/Petrovs-Defense-3.Qe2,fun_man won by checkmate
154,https://www.chess.com/live/game/2923288506,https://www.chess.com/openings/Indian-Game-Paleface-Attack,Game drawn by stalemate
155,https://www.chess.com/live/game/2923312744,https://www.chess.com/openings/Petrovs-Defense-Classical-Damiano-Variation,spacemanspiff123 won by resignation
156,https://www.chess.com/live/game/2923344001,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation,fun_man won by checkmate
157,https://www.chess.com/live/game/2923385719,https://www.chess.com/openings/French-Defense-Normal-Variation,natahsakucenko won by checkmate
158,https://www.chess.com/live/game/2924536060,https://www.chess.com/openings/Petrovs-Defense-Urusov-Gambit,fun_man won by resignation
159,https://www.chess.com/live/game/2924580021,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5,fun_man won by resignation
160,https://www.chess.com/live/game/2924636446,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation-2...Nf6,fun_man won by resignation
161,https://www.chess.com/live/game/2933690101,https://www.chess.com/openings/Nimzowitsch-Defense-Declined-Williams-Variation,ChessPlayerDaddy won by checkmate
162,https://www.chess.com/live/game/2934414151,https://www.chess.com/openings/Nimzowitsch-Defense-Scandinavian-Exchange-Variation,LenQuagmire won by checkmate
163,https://www.chess.com/live/game/2934867456,https://www.chess.com/openings/Nimzowitsch-Defense-Declined,Gregory9189 won by resignation
164,https://www.chess.com/live/game/2934965415,https://www.chess.com/openings/Queens-Pawn-Opening-Mikenas-Defense,fun_man won - game abandoned
165,https://www.chess.com/live/game/2935467119,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5,fun_man won by resignation
166,https://www.chess.com/live/game/2935477097,https://www.chess.com/openings/Trompowsky-Attack,lgkwan won by resignation
